Formulation,Formulation_ID,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Form_comment
T0001_cao2025_systemic_administration_ALC_0315,T0001_cao2025_systemic_administration_ALC_0315,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0002_cao2025_systemic_administration_MC3,T0002_cao2025_systemic_administration_MC3,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0003_cao2025_systemic_administration_OS4,T0003_cao2025_systemic_administration_OS4,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0004_cao2025_systemic_administration_OS4T,T0004_cao2025_systemic_administration_OS4T,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0005_cao2025_systemic_administration_SM_102,T0005_cao2025_systemic_administration_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0006_cao2025_systemic_administration_OS4B,T0006_cao2025_systemic_administration_OS4B,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0007_cao2025_systemic_administration_OS4C,T0007_cao2025_systemic_administration_OS4C,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0008_cao2025_systemic_administration_OS4D,T0008_cao2025_systemic_administration_OS4D,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0009_cao2025_systemic_administration_OS4H,T0009_cao2025_systemic_administration_OS4H,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0010_cao2025_systemic_administration_OS4P,T0010_cao2025_systemic_administration_OS4P,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
